Tickers,Stock Code,Name of Securities,Category,Board Lot,ISIN,RMB Counter
2293.hk,02293,BAMBOOSHEALTH,Equity,"4,000",KYG072191011,
2295.hk,02295,MAXICITY,Equity,"5,000",KYG5897S1066,
2297.hk,02297,RAINMED-B,Equity,"1,000",KYG7360A1094,
2298.hk,02298,COSMO LADY,Equity,"1,000",KYG244421080,
2299.hk,02299,BILLION IND,Equity,"2,000",KYG110431098,
2302.hk,02302,CNNC INT'L,Equity,"1,000",KYG2352X1262,
2306.hk,02306,YH ENT,Equity,"3,000",KYG9844S1021,
2307.hk,02307,KAM HING INT'L,Equity,"2,000",KYG5213T1013,
2309.hk,02309,ZO FUTURE GROUP,Equity,"2,000",KYG1132K1233,
2310.hk,02310,TIMES UNI GP,Equity,"2,000",HK2310012334,
2312.hk,02312,CH FIN LEASING,Equity,"10,000",KYG2153Z2137,
2313.hk,02313,SHENZHOU INTL,Equity,100,KYG8087W1015,
2314.hk,02314,LEE & MAN PAPER,Equity,"1,000",KYG5427W1309,
2315.hk,02315,BIOCYTOGEN-B,Equity,500,CNE100005D27,
2317.hk,02317,VEDAN INT'L,Equity,"4,000",KYG9327M1015,
2318.hk,02318,PING AN,Equity,500,CNE1000003X6,82318
2319.hk,02319,MENGNIU DAIRY,Equity,"1,000",KYG210961051,
2320.hk,02320,HOP FUNG GROUP,Equity,"2,000",KYG459991025,
2321.hk,02321,SWANGCHAICHUAN,Equity,"5,000",KYG8601A1067,
2322.hk,02322,MODERN INNO DT,Equity,"8,000",BMG6181H1034,
2323.hk,02323,RENCO HOLDINGS,Equity,"2,000",BMG749131071,
2324.hk,02324,CAPITAL VC,Equity,"10,000",KYG1889C2251,
2325.hk,02325,YUNKANG GROUP,Equity,500,KYG9889T1067,
2326.hk,02326,NPE HOLDINGS,Equity,"10,000",BMG6475L1090,
2327.hk,02327,MEILLEUREHEALTH,Equity,"6,000",BMG5975D1048,
2328.hk,02328,PICC P&C,Equity,"2,000",CNE100000593,
2329.hk,02329,GLORY HEALTH,Equity,"1,000",            ,
2330.hk,02330,CHINA UPTOWN,Equity,"8,000",KYG2111Y1347,
2331.hk,02331,LI NING,Equity,500,KYG5496K1242,82331
2333.hk,02333,GWMOTOR,Equity,500,CNE100000338,82333
2336.hk,02336,SHUOAO INTL,Equity,"10,000",KYG4233P1081,
2337.hk,02337,UNITED STRENGTH,Equity,"1,000",KYG9354A1031,
2338.hk,02338,WEICHAI POWER,Equity,"1,000",CNE1000004L9,
2339.hk,02339,BWI INT'L,Equity,"2,000",KYG1145N1144,
2340.hk,02340,ISP HOLDINGS,Equity,"4,000",BMG8646Z1086,
2342.hk,02342,COMBA,Equity,"2,000",KYG229721140,
2343.hk,02343,PACIFIC BASIN,Equity,"1,000",BMG684371393,
2347.hk,02347,YOHO GROUP,Equity,"2,000",KYG8891T1040,
2348.hk,02348,DAWNRAYS PHARMA,Equity,"4,000",KYG2687M1006,
2349.hk,02349,CH CITY INFRA,Equity,"4,000",KYG2118E1070,
2350.hk,02350,MTT GROUP,Equity,"5,000",KYG632451079,
2352.hk,02352,DOWELL SERVICE,Equity,200,CNE1000058Z5,
2355.hk,02355,BAOYE GROUP,Equity,"2,000",CNE100000213,
2356.hk,02356,DAHSING BANKING,Equity,400,HK2356013600,
2357.hk,02357,AVICHINA,Equity,"1,000",CNE1000001Y8,
2358.hk,02358,JIU RONG HOLD,Equity,"10,000",KYG5139B1014,
2359.hk,02359,WUXI APPTEC,Equity,100,CNE100003F19,
2360.hk,02360,BEST MART 360,Equity,"2,000",KYG1065A1004,
2361.hk,02361,SINOHEALTH HLDG,Equity,500,KYG8192Q1064,
2362.hk,02362,JINCHUAN INTL,Equity,"1,000",KYG5138B1023,
2363.hk,02363,TONGDA HONG TAI,Equity,"5,000",KYG8919C1252,
2367.hk,02367,GIANT BIOGENE,Equity,200,KYG3887G1091,
2368.hk,02368,EAGLE NICE,Equity,"2,000",KYG2951U1013,
2369.hk,02369,COOLPAD GROUP,Equity,"4,000",KYG2418K1343,
2370.hk,02370,REDCO HEALTHY,Equity,500,KYG7419Y1089,
2371.hk,02371,CHUANGLIAN HOLD,Equity,"4,000",KYG2114J1186,
2372.hk,02372,WEILI HOLDINGS,Equity,"4,000",KYG9T2091096,
2373.hk,02373,BEAUTYFARM MED,Equity,500,KYG0929L1041,
2376.hk,02376,LUSHANGSERVICES,Equity,500,CNE100005DD2,
2377.hk,02377,BOQI ENV,Equity,"1,000",KYG2153A1013,
2378.hk,02378,PRU,Equity,50,GB0007099541,
2380.hk,02380,CHINA POWER,Equity,"1,000",HK2380027329,
2381.hk,02381,SMC ELECTRIC,Equity,"10,000",KYG823071025,
2382.hk,02382,SUNNY OPTICAL,Equity,100,KYG8586D1097,
2383.hk,02383,TOM GROUP,Equity,"2,000",KYG891101035,
2385.hk,02385,READBOY,Equity,400,KYG7398S1066,
2386.hk,02386,SINOPEC SEG,Equity,500,CNE100001NV2,
2388.hk,02388,BOC HONG KONG,Equity,500,HK2388011192,82388
2389.hk,02389,BJ HEALTH,Equity,"6,000",KYG0957Q1082,
2390.hk,02390,ZHIHU-W,Equity,100,KYG989MJ1017,
2391.hk,02391,TUYA-W,Equity,200,KYG913841006,
2392.hk,02392,XUANWU CLOUD,Equity,500,KYG9831R1175,
2393.hk,02393,YESTAR HEALTH,Equity,"2,500",KYG9843W1125,
2399.hk,02399,CN ANCHU ENERGY,Equity,"1,000",KYG211271161,
2400.hk,02400,XD INC,Equity,200,KYG9830N1097,
2402.hk,02402,SINOHYTEC,Equity,50,CNE100005RX0,
2405.hk,02405,POWERWIN TECH,Equity,"4,000",KYG7223U1022,
2407.hk,02407,GAUSH MEDITECH,Equity,100,KYG3902N1051,
2409.hk,02409,SEACON,Equity,"1,000",KYG7945D1079,
2410.hk,02410,TYK MEDICINES-B,Equity,500,CNE100006L34,
2411.hk,02411,PAGODA GP,Equity,500,CNE100005RW2,
2415.hk,02415,MEDSCI,Equity,250,KYG5960J1085,
2416.hk,02416,EDIANYUN,Equity,500,KYG3057B1041,
2418.hk,02418,DEEWIN,Equity,"1,500",CNE100005F41,
2419.hk,02419,DEKON AGR,Equity,100,CNE1000068G4,
2420.hk,02420,ZIBUYU,Equity,500,KYG989AK1018,
2421.hk,02421,KRP DEVELOPMENT,Equity,"2,000",KYG5319W1078,
2422.hk,02422,REGO INTERACT,Equity,"4,000",KYG7481X1034,
2423.hk,02423,BEKE-W,Equity,100,KYG5223Y1089,
2425.hk,02425,AUSTASIA GROUP,Equity,"1,000",SGXZ22466619,
2427.hk,02427,GUANZE MEDICAL,Equity,"5,000",KYG4315D1060,
2429.hk,02429,UBOX ONLINE,Equity,500,CNE1000068H2,
2431.hk,02431,MINIEYE,Equity,200,CNE100006QM3,
2432.hk,02432,DOBOT,Equity,200,CNE100006QF7,
2433.hk,02433,ZT HN GROUP,Equity,"2,000",KYG989MU1061,
2436.hk,02436,LX TECHNOLOGY,Equity,300,KYG570311095,
2438.hk,02438,MOBVOI,Equity,"1,000",KYG6300A1040,
2439.hk,02439,CH TREASURES NM,Equity,"2,000",KYG2164B1068,
2440.hk,02440,MEMESTRATEGY,Equity,"1,000",            ,
2442.hk,02442,EASY SMART GP,Equity,"2,000",KYG3R31M1020,
2443.hk,02443,AUTOSTREETS,Equity,200,KYG0670R1020,
2448.hk,02448,SPACE GROUP,Equity,"2,500",KYG8T08B1280,
2450.hk,02450,HUAIBEI GD CO,Equity,"1,500",CNE100005RT8,
2451.hk,02451,LUYUAN GP HLDG,Equity,500,KYG5727M1050,
2453.hk,02453,CONCORD HC GP,Equity,200,CNE100006BL7,
2455.hk,02455,RUNHUA SERVICE,Equity,"2,000",KYG771601021,
2457.hk,02457,BUYANG INTL,Equity,"5,000",KYG1739A1067,
2458.hk,02458,GALA TECH HOLD,Equity,400,KYG3790R1011,
2459.hk,02459,SANERGY GROUP,Equity,"20,000",KYG7802A1058,
2460.hk,02460,CR BEVERAGE,Equity,200,KYG2135N1060,
2465.hk,02465,LOPAL TECH,Equity,500,CNE100006NC1,
2469.hk,02469,FENBI,Equity,500,KYG3413F1046,
2473.hk,02473,XXF,Equity,"2,500",KYG9831F1138,
2477.hk,02477,WELLCELL HOLD,Equity,800,KYG9541D1198,
2479.hk,02479,TIANJUDIHE,Equity,50,CNE100006F65,
2480.hk,02480,LUZHU BIOTECH-B,Equity,200,CNE100005YD8,
2481.hk,02481,WISE LIVING TEC,Equity,"1,000",CNE100006376,
2482.hk,02482,LOGORY,Equity,"1,000",CNE100005W08,
2483.hk,02483,K CASH,Equity,"2,000",KYG5230A1013,
2486.hk,02486,PLUS GP HOLDING,Equity,200,KYG7137P1081,
2487.hk,02487,CUTIA-B,Equity,200,KYG2606C1006,
2488.hk,02488,LAUNCH TECH,Equity,500,CNE1000000V6,
2489.hk,02489,PERSISTENCE RES,Equity,"5,000",KYG7032M1015,
2490.hk,02490,LC LOGISTICS,Equity,300,KYG540821132,
2495.hk,02495,VOICECOMM,Equity,20,CNE100006K19,
2496.hk,02496,YZYBIO-B,Equity,200,CNE1000063C4,
2497.hk,02497,FUJING HOLDINGS,Equity,"2,000",KYG3R23C1048,
2498.hk,02498,ROBOSENSE,Equity,100,KYG7611S1075,
2499.hk,02499,FOLANGSI,Equity,200,CNE1000068X9,
2500.hk,02500,VENUS MEDTECH-B,Equity,500,CNE100003PJ8,
2501.hk,02501,MAIYUE TECH,Equity,"2,000",KYG57Y2D1003,
2502.hk,02502,JINYUAN HCHEM,Equity,"2,000",CNE100006BD4,
2503.hk,02503,ZHONGSHENJIANYE,Equity,"4,000",KYG989MA1008,
2505.hk,02505,EDA GROUP HLDGS,Equity,"1,000",KYG2993S1066,
2506.hk,02506,XUNFEIHEALTH,Equity,50,CNE100006MP5,
2507.hk,02507,CIRRUS,Equity,100,KYG2151G1001,
2508.hk,02508,SAINT BELLA,Equity,500,KYG7774B1077,
2509.hk,02509,QYUNS-B,Equity,200,CNE1000069W9,
2510.hk,02510,TS LINES,Equity,"1,000",HK0001078598,
2511.hk,02511,HIGHTIDE-B,Equity,500,KYG4568L1023,
2512.hk,02512,CLOUD FACTORY,Equity,"1,000",KYG2216G1038,
2515.hk,02515,TJCD,Equity,"2,000",CNE100006CB6,
2516.hk,02516,FAR INTL,Equity,"4,000",KYG3320T1067,
2517.hk,02517,GUOQUAN,Equity,400,CNE1000068W1,
2518.hk,02518,AUTOHOME-S,Equity,100,KYG066341028,
2519.hk,02519,AUGROUP,Equity,300,CNE100006NG2,
2520.hk,02520,SHANXI INSTALL,Equity,"2,000",CNE1000069C1,
2521.hk,02521,SHENGHUI CLEAN,Equity,"7,500",KYG8117S1049,
2522.hk,02522,RIMAG GROUP,Equity,500,CNE100006HX9,
2525.hk,02525,HESAI-W,Equity,20,KYG4417G1064,
2528.hk,02528,FW FASHION INT,Equity,"2,000",KYG3642A1085,
2529.hk,02529,HOLLWIN URBAN,Equity,"1,000",CNE100006G31,
2530.hk,02530,NUMANS,Equity,"8,000",KYG6781U1085,
2531.hk,02531,CARLINK TECH,Equity,500,KYG3940A1076,
2533.hk,02533,BLACK SESAME,Equity,100,KYG129301068,
2535.hk,02535,WK GROUP,Equity,"10,000",KYG9727S1049,
2536.hk,02536,PALASINO,Equity,"1,000",KYG6876G1055,
2540.hk,02540,LESI GROUP,Equity,"2,500",KYG5456E1008,
2543.hk,02543,DAHON TECH,Equity,100,CNE100007366,
2545.hk,02545,ZHONGGAN COMM,Equity,"2,000",KYG98Y7A1021,
2549.hk,02549,CAROTE LTD,Equity,500,KYG1917P1072,
2550.hk,02550,EASOU TECH,Equity,500,KYG2904J1040,
2551.hk,02551,APT ELECTRONICS,Equity,"1,000",CNE100006L91,
2552.hk,02552,HUA MEDICINE-B,Equity,500,KYG4644K1022,
2555.hk,02555,CHABAIDAO,Equity,200,CNE100006G23,
2556.hk,02556,MARKETINGFORCE,Equity,100,KYG6000R1002,
2558.hk,02558,JINSHANG BANK,Equity,"1,000",CNE100003LP4,
2559.hk,02559,DIDA INC,Equity,500,KYG2866S1003,
2560.hk,02560,CONCH MAT TECH,Equity,"1,000",CNE100006QD2,
2561.hk,02561,VISEN PHARMA-B,Equity,100,KYG93Y5D1039,
2562.hk,02562,SYNAGISTICS,Equity,500,KYG4515L2058,
2563.hk,02563,BIOSTAR PHARM-B,Equity,200,CNE100006NB3,
2565.hk,02565,PEGBIO CO-B,Equity,500,CNE100006T44,
2566.hk,02566,JIUYUAN GENE,Equity,200,CNE100006KF0,
2567.hk,02567,QINIU,Equity,"1,000",KYG7309P1000,
2569.hk,02569,SOFT INTL,Equity,"5,000",KYG8252K1067,
2570.hk,02570,REFIRE,Equity,20,CNE100006PJ1,
2571.hk,02571,SAIMO,Equity,200,CNE100006QL5,
2573.hk,02573,NEWTREND GROUP,Equity,200,CNE100006XW8,
2576.hk,02576,TAIMEI TECH,Equity,200,CNE100006M66,
2577.hk,02577,INNOSCIENCE,Equity,100,CNE100006QG5,
2580.hk,02580,AUX ELECTRIC,Equity,200,KYG0676D1079,
2582.hk,02582,GUOFUHEE,Equity,50,CNE100006N08,
2585.hk,02585,MOKINGRAN,Equity,200,CNE100006NX7,
2586.hk,02586,DMALL,Equity,100,VGG3168D1069,
2587.hk,02587,HEALTHYWAY INC,Equity,500,KYG4412P1019,
2588.hk,02588,BOC AVIATION,Equity,100,SG9999015267,
2589.hk,02589,AUNTEA JENNY,Equity,30,CNE100006V73,
2590.hk,02590,GEEKPLUS-W,Equity,200,CNE1000070L0,
2591.hk,02591,INNOGEN-B,Equity,200,CNE1000071Q7,
2592.hk,02592,CLOUDBREAK-B,Equity,500,KYG2215S1084,
2593.hk,02593,HERBS GROUP,Equity,800,KYG4413S1049,
2595.hk,02595,GENFLEET-B,Equity,200,CNE1000074L2,
2596.hk,02596,YIBIN BANK,Equity,"1,000",CNE100006QK7,
2597.hk,02597,XUNZHONG,Equity,500,CNE1000070J4,
2598.hk,02598,LIANLIAN,Equity,500,CNE100006FR5,
2600.hk,02600,CHALCO,Equity,"2,000",CNE1000001T8,
2601.hk,02601,CPIC,Equity,200,CNE1000009Q7,
2602.hk,02602,ONEWO,Equity,100,CNE100005K85,
2603.hk,02603,JIHONG CO,Equity,500,CNE100006XV0,
2605.hk,02605,METALIGHT,Equity,400,KYG6108A1085,
2607.hk,02607,SH PHARMA,Equity,100,CNE1000012B3,
2608.hk,02608,SUNSHINE 100,Equity,"1,000",KYG794911092,
2609.hk,02609,BAYZED HEALTH,Equity,600,KYG0893A1004,
2610.hk,02610,NANSHAN AL INTL,Equity,100,KYG6391R1074,
2611.hk,02611,GTHT,Equity,200,CNE100002FK9,
2613.hk,02613,CONTIOCEAN,Equity,100,CNE100006QP6,
2616.hk,02616,CSTONE PHARMA-B,Equity,500,KYG2588M1006,
2617.hk,02617,TRANSTHERA-B,Equity,500,CNE100006T02,
2618.hk,02618,JD LOGISTICS,Equity,100,KYG5074S1012,
2619.hk,02619,XJ ELECTRICS,Equity,"1,000",CNE100006Z61,
2621.hk,02621,SHOUHUI GROUP,Equity,400,KYG8118E1044,
2623.hk,02623,ADD NEW ENERGY,Equity,"2,000",KYG0112P1101,
2625.hk,02625,JIANGSU HORIZON,Equity,"1,000",CNE100006V57,
2627.hk,02627,AB&B BIO-TECH-B,Equity,200,CNE1000071P9,
2628.hk,02628,CHINA LIFE,Equity,"1,000",CNE1000002L3,
2629.hk,02629,MIRXES-B,Equity,100,KYG6152E1052,
2631.hk,02631,SICC,Equity,100,CNE1000071K0,
2633.hk,02633,JACOBSON PHARMA,Equity,"2,000",KYG677291067,
2638.hk,02638,HKELECTRIC-SS,Equity,500,HK0000179108,
2643.hk,02643,CAOCAO INC,Equity,100,KYG1875S1012,
2648.hk,02648,ANJOY FOOD,Equity,100,CNE100006Z87,
2651.hk,02651,DAZHONG DENTAL,Equity,100,CNE1000070K2,
2656.hk,02656,160 HEALTH,Equity,250,KYG6S54B1005,
2660.hk,02660,ZENGAME,Equity,"2,000",KYG9887S1003,
2663.hk,02663,KPA-BM HLDGS,Equity,"10,000",KYG5321E1035,
2666.hk,02666,UNI MEDICAL,Equity,500,HK0000255361,
2668.hk,02668,PAK TAK INT'L,Equity,"10,000",BMG687481215,
2669.hk,02669,CHINA OVS PPT,Equity,"5,000",KYG2118M1096,
2678.hk,02678,TEXHONG INTL GP,Equity,500,KYG876551170,
2680.hk,02680,INNOVAX HLDGS,Equity,"2,000",KYG4790R1175,
2682.hk,02682,YUN LEE MARINE,Equity,"4,000",KYG9888W1006,
2683.hk,02683,WAHSUN HANDBAGS,Equity,"2,000",KYG9420H1083,
2688.hk,02688,ENN ENERGY,Equity,100,KYG3066L1014,
2689.hk,02689,ND PAPER,Equity,"1,000",BMG653181005,
2696.hk,02696,HENLIUS,Equity,100,CNE100003N76,
2699.hk,02699,XINMING CHINA,Equity,"2,000",KYG9830D1198,
2700.hk,02700,GREEN INTL HLDG,Equity,"20,000",KYG4164T1379,
2708.hk,02708,IBO TECH,Equity,"2,000",KYG469601036,
2722.hk,02722,CHONGQING M&E,Equity,"2,000",CNE1000009W5,
2727.hk,02727,SH ELECTRIC,Equity,"2,000",CNE100000437,
2728.hk,02728,JINTAI ENERGY H,Equity,"4,000",KYG5141G1064,
2738.hk,02738,HUAJIN INTL,Equity,"2,000",KYG464211062,
2772.hk,02772,ZHONGLIANG HLDG,Equity,500,KYG9898C1024,
2777.hk,02777,R&F PROPERTIES,Equity,400,CNE100000569,
2779.hk,02779,CH XINHUA EDU,Equity,"1,000",KYG216231061,
2789.hk,02789,YUANDA CHINA,Equity,"2,000",KYG987761007,
2798.hk,02798,PER ENERGY,Equity,"5,000",KYG7011M1069,
2799.hk,02799,CITIC FAMC,Equity,"1,000",CNE100002367,
2858.hk,02858,YIXIN,Equity,500,KYG9T43R1023,
2863.hk,02863,GOLDEN FAITH GP,Equity,"3,000",KYG395761060,
2865.hk,02865,DRINDA,Equity,100,CNE100006JZ0,
2866.hk,02866,COSCO SHIP DEV,Equity,"1,000",CNE100000536,
2869.hk,02869,GREENTOWN SER,Equity,"2,000",KYG410121084,
2877.hk,02877,SHINEWAY PHARM,Equity,"1,000",KYG2110P1000,
2878.hk,02878,SOLOMON SYSTECH,Equity,"2,000",KYG826051099,
2880.hk,02880,LIAONING PORT,Equity,"2,000",CNE1000002Y6,
2881.hk,02881,WUHAN YOUJI,Equity,500,KYG9590P1046,
2882.hk,02882,3DG HOLDINGS,Equity,"5,000",BMG7155A1577,
2883.hk,02883,CHINA OILFIELD,Equity,"2,000",CNE1000002P4,
2885.hk,02885,PEIPORT HOLD,Equity,"2,000",KYG6983A1085,
2886.hk,02886,BINHAI INV,Equity,"2,000",BMG1118Y1214,
2888.hk,02888,STANCHART,Equity,50,GB0004082847,
2892.hk,02892,MILLION CITIES,Equity,"2,000",KYG6130M1042,
2898.hk,02898,SUNHO BIO-B,Equity,200,KYG8572S1021,
2899.hk,02899,ZIJIN MINING,Equity,"2,000",CNE100000502,
2906.hk,02906,SOFTMEDX-OLD,Equity,125,HK0000375789,
2920.hk,02920,FUTURE MACH RTS,Equity,"2,000",KYG8401A1168,
2925.hk,02925,RISECOMM GP-OLD,Equity,"1,000",KYG7573R1544,
2926.hk,02926,ZCLOUD TECH-OLD,Equity,"32,000",KYG3708A1250,
2932.hk,02932,GET NICE-OLD,Equity,100,KYG3926K1379,
2934.hk,02934,ESPRIT HOLD-OLD,Equity,250,BMG3122U3016,
2943.hk,02943,YUZHOU GROUP,Equity,100,            ,
2944.hk,02944,BYD COMPANY-500,Equity,500,            ,82944
3288.hk,03288,HAITIAN FLAV,Equity,100,CNE100006Z53,
3300.hk,03300,CHINA GLASS,Equity,"2,000",BMG2111H1236,
3301.hk,03301,RONSHINECHINA,Equity,500,KYG763681023,
3302.hk,03302,KINERGY,Equity,"2,000",SGXZ22036768,
3303.hk,03303,JUTAL OIL SER,Equity,"2,000",KYG520771075,
3306.hk,03306,JNBY,Equity,500,KYG550441045,
3309.hk,03309,C-MER MEDICAL,Equity,"2,000",KYG2R51A1053,
3311.hk,03311,CHINA STATE CON,Equity,"2,000",KYG216771363,
3313.hk,03313,ARTGO HOLDINGS,Equity,"10,000",KYG0509A1489,
3315.hk,03315,GOLDPAC GROUP,Equity,"1,000",HK0000172855,
3316.hk,03316,BINJIANG SER,Equity,500,KYG1122A1013,
3318.hk,03318,CHINA BOTON,Equity,"2,000",KYG2152H1074,
3319.hk,03319,A-LIVING,Equity,250,CNE100002RY5,
3320.hk,03320,CHINARES PHARMA,Equity,500,HK0000311099,
3321.hk,03321,WAI HUNG GROUP,Equity,"2,500",KYG9428A1058,
3322.hk,03322,WIN HANVERKY,Equity,"2,000",KYG9716W1087,
3323.hk,03323,CNBM,Equity,"2,000",CNE1000002N9,
3326.hk,03326,PERFECT GROUP,Equity,"3,000",KYG700671145,
3328.hk,03328,BANKCOMM,Equity,"1,000",CNE100000205,
3329.hk,03329,BOCOM INTL,Equity,"1,000",HK0000337987,
3330.hk,03330,LINGBAO GOLD,Equity,"1,000",CNE1000001H3,
3332.hk,03332,SINOLIFE UTD,Equity,"2,000",CNE100001S08,
3336.hk,03336,JU TENG INTL,Equity,"2,000",KYG521051063,
3337.hk,03337,ANTON OILFIELD,Equity,"2,000",KYG039991024,
3339.hk,03339,LONKING,Equity,"1,000",KYG5636C1078,
3347.hk,03347,TIGERMED,Equity,100,CNE1000040M1,
3348.hk,03348,CHINA PENGFEI,Equity,"2,000",KYG2164M1024,
3360.hk,03360,FE HORIZON,Equity,"1,000",HK0000077468,
3363.hk,03363,ZHENGYE INT'L,Equity,"2,000",BMG989231086,
3366.hk,03366,OCT (ASIA),Equity,"2,000",KYG684581013,
3368.hk,03368,PARKSON GROUP,Equity,500,KYG693701156,
3369.hk,03369,QHD PORT,Equity,500,CNE100001QR3,
3377.hk,03377,SINO-OCEAN GP,Equity,500,HK3377040226,
3380.hk,03380,LOGAN GROUP,Equity,"1,000",KYG555551095,
3382.hk,03382,TIANJINPORT DEV,Equity,"2,000",KYG886801060,
3383.hk,03383,AGILE GROUP,Equity,"2,000",KYG011981035,
3389.hk,03389,HENGDELI,Equity,"4,000",KYG450481083,
3390.hk,03390,TYCOON GROUP,Equity,"2,000",KYG9143T1085,
3393.hk,03393,WASION HOLDINGS,Equity,"2,000",KYG9463P1081,
3395.hk,03395,JX ENERGY,Equity,"1,000",CA71535Q1072,
3396.hk,03396,LEGENDHOLDING,Equity,100,CNE100001ZT0,
3398.hk,03398,CHINA TING,Equity,"2,000",KYG8439J1058,
3399.hk,03399,YUEYUN TRANS,Equity,"1,000",CNE100000361,
3600.hk,03600,MODERN DENTAL,Equity,"1,000",KYG618201092,
3601.hk,03601,LUDASHI,Equity,"1,000",KYG8R49A1078,
3603.hk,03603,XINJI SHAXI,Equity,"3,000",KYG9830L1032,
3606.hk,03606,FUYAO GLASS,Equity,400,CNE100001TR7,
3613.hk,03613,TONGRENTANGCM,Equity,"1,000",HK0000145638,
3616.hk,03616,EVER REACH GP,Equity,"2,000",KYG322701031,
3618.hk,03618,CQRC BANK,Equity,"1,000",CNE100000X44,
3623.hk,03623,C SUCCESS FIN,Equity,"2,000",KYG216891070,
3626.hk,03626,HSSP INTL,Equity,"2,000",KYG4288S1066,
3628.hk,03628,RENHENG ENT,Equity,"4,000",KYG750051198,
3633.hk,03633,ZHONGYU ENERGY,Equity,"1,000",KYG9891U1334,
3638.hk,03638,HUNLICAR GROUP,Equity,"1,000",KYG4644E1301,
3639.hk,03639,YIDA CHINA,Equity,"2,000",KYG9843H1074,
3650.hk,03650,KEEP,Equity,100,KYG5244R1083,
3658.hk,03658,NEW HOPE SERV,Equity,"1,000",KYG6486M1042,
3660.hk,03660,QFIN-S,Equity,50,KYG8851G1001,
3662.hk,03662,STARJOY W&T,Equity,"1,000",KYG0404F1019,
3666.hk,03666,SHANGHAI XNG,Equity,"2,000",KYG8673P1063,
3668.hk,03668,YANCOAL AUS,Equity,100,AU000000YAL0,
3669.hk,03669,YONGDA AUTO,Equity,500,KYG2162W1024,
3677.hk,03677,ZENERGY,Equity,300,CNE100006VV4,
3678.hk,03678,HOLLY FUTURES,Equity,"1,000",CNE1000023S4,
3680.hk,03680,RUIHE DATA,Equity,"2,000",KYG8587G1010,
3681.hk,03681,SINOMAB BIO-B,Equity,300,HK0000544194,
3683.hk,03683,GREAT HARVEST,Equity,"2,500",KYG4163E1070,
3686.hk,03686,CLIFFORDML,Equity,"10,000",KYG2204M1042,
3688.hk,03688,TOP SPRING,Equity,500,KYG892541098,
3689.hk,03689,KANGHUA HEALTH,Equity,200,CNE100002B55,
3690.hk,03690,MEITUAN-W,Equity,100,KYG596691041,83690
3692.hk,03692,HANSOH PHARMA,Equity,"2,000",KYG549581067,
3698.hk,03698,HUISHANG BANK,Equity,"1,000",CNE100001QP7,
3699.hk,03699,EB GRAND CHINA,Equity,"2,000",KYG3222R1092,
3700.hk,03700,INKEVERSE,Equity,"1,000",KYG4809C1015,
3708.hk,03708,CH SUPPLY CHAIN,Equity,"5,000",KYG983421192,
3709.hk,03709,EEKA FASHION,Equity,500,KYG539641053,
3718.hk,03718,BJ ENT URBAN,Equity,"4,000",KYG0958F1019,
3728.hk,03728,CHING LEE,Equity,"20,000",KYG2118S1066,
3737.hk,03737,ZHONGZHIPHARM,Equity,"1,000",KYG989611085,
3738.hk,03738,VOBILE GROUP,Equity,"1,000",KYG9390R1103,
3750.hk,03750,CATL,Equity,100,CNE100006WS8,
3759.hk,03759,PHARMARON,Equity,100,CNE100003PG4,
3768.hk,03768,DCWT,Equity,"1,000",CNE100002BH4,
3773.hk,03773,YS DIGIFAVOR,Equity,"2,000",KYG654091076,
3778.hk,03778,CHINA WEAVING,Equity,"4,000",KYG2116A1076,
3788.hk,03788,CHINA HANKING,Equity,"1,000",KYG2115G1055,
3789.hk,03789,ROYAL DELUXE,Equity,"4,000",KYG7852R1074,
3798.hk,03798,HOMELAND ITL,Equity,"2,000",KYG6647P1037,
3800.hk,03800,GCL TECH,Equity,"1,000",KYG3774X1088,
3808.hk,03808,SINOTRUK,Equity,500,HK3808041546,
3813.hk,03813,POU SHENG INT'L,Equity,"1,000",BMG7208D1092,
3816.hk,03816,KFM KINGDOM,Equity,"4,000",KYG525551027,
3818.hk,03818,CHINA DONGXIANG,Equity,"1,000",KYG2112Y1098,
3822.hk,03822,SAM WOO CONS,Equity,"4,000",KYG7785L1288,
3828.hk,03828,MING FAI INT'L,Equity,"1,000",KYG6141X1079,
3830.hk,03830,KIDDIELAND,Equity,"5,000",KYG5259B1059,
3833.hk,03833,XINXIN MINING,Equity,"1,000",CNE1000007G2,
3836.hk,03836,HARMONY AUTO,Equity,500,KYG2118N1079,
3838.hk,03838,CHINA STARCH,Equity,"5,000",KYG2161A1195,
3839.hk,03839,CT ENTERPRISE,Equity,500,BMG2151A1036,
3848.hk,03848,HAOSEN FINTECH,Equity,"1,000",KYG719721063,
3858.hk,03858,JIAXIN INTL RES,Equity,400,HK0001188587,
3860.hk,03860,EPS HEALTH TECH,Equity,"5,000",KYG3121P1054,
3866.hk,03866,BQD,Equity,500,CNE100002391,
3868.hk,03868,XINYI ENERGY,Equity,"2,000",VGG9833A1049,
3869.hk,03869,HOSPITAL CORP,Equity,200,KYG4612W1042,
3877.hk,03877,CSSC SHIPPING,Equity,"2,000",HK0000504214,
3878.hk,03878,VICON HOLDINGS,Equity,"2,000",KYG9362W1050,
3880.hk,03880,MEDTIDE,Equity,100,CNE100006S86,
3882.hk,03882,SKYLIGHT HLDG,Equity,"1,000",KYG8191M1069,
3883.hk,03883,CHINA AOYUAN,Equity,"1,000",KYG2119Z1090,
3886.hk,03886,TOWN HEALTH,Equity,"2,000",BMG8979V1046,
